FILEDATE,serialno,sporder,st,PUMA,OFFPoor,wt,Age,Mar,Sex,Education,Race,Hispanic,AGI,Tax_unit,HI_premium,Moop_other,SPM_ID,SPM_Poor,SPM_PovThreshold,SPM_EquivScale,SPM_GeoAdj,SPM_NumPer,SPM_NumKids,SPM_NumAdults,SPM_TenMortStatus,SPM_Resources,SPM_Totval,SPM_SNAPSub,SPM_CapHouseSub,SPM_SchLunch,SPM_EngVal,SPM_WICval,SPM_FedTax,SPM_FedTaxBC,SPM_EITC,SPM_FICA,SPM_StTax,SPM_CapWkCCXpns,SPM_WkXpns,SPM_ChildcareXpns,SPM_Premium,SPM_MedXpns,Medicare_PartB,SPM_wCohabit,SPM_wUI_LT15
20241203,141,1,55,5501900,FALSE,71,22,Never married,1,0,1,0,45800,1410000000,1999,208,141001,0,37897,1,1.0111,4,2,2,3,58997,67800,687,0,750,0,463,-1998,3501,1499,5186,1450,3474,3474,0,1999,2590,0,1,1
20241203,141,2,55,5501900,FALSE,90,21,Never married,2,0,1,0,22000,1410000012,0,383,141001,0,37897,1,1.0111,4,2,2,3,58997,67800,687,0,822,0,463,-1998,3501,1499,5186,1450,3474,3474,0,1999,2590,0,1,1
20241203,141,3,55,5501900,FALSE,120,0,Never married,1,0,1,0,45800,1410000000,0,0,141001,0,37897,1,1.0111,4,2,2,3,58997,67800,687,0,750,0,463,-1998,3501,1499,5186,1450,3474,3474,0,1999,2590,0,1,1
20241203,141,4,55,5501900,FALSE,162,14,Never married,2,0,1,0,45800,1410000000,0,0,141001,0,37897,1,1.0111,4,2,2,3,58997,67800,687,0,822,0,463,-1998,3501,1499,5186,1450,3474,3474,0,1999,2590,0,1,1
20241203,142,1,17,1714300,FALSE,95,59,Never married,1,2,1,0,92000,1420000000,833,2000,142001,0,14941,0.4635,0.8733,1,0,1,1,63725,92000,0,0,0,0,0,12501,12501,0,7038,4434,1470,1470,0,833,2833,0,0,0
20241203,143,1,6,607316,FALSE,132,30,Married,1,4,1,0,105000,1430000000,1013,1632,143001,0,42491,0.8802,1.288,3,1,2,3,83721,105000,0,0,0,0,0,6836,8836,0,8033,2167,1737,1737,0,774,2506,0,0,0
20241203,143,2,6,607316,FALSE,125,31,Married,2,4,1,0,105000,1430000000,536,100,143001,0,42491,0.8802,1.288,3,1,2,3,83721,105000,0,0,0,0,0,6836,8836,0,8033,2167,1737,1737,0,774,2506,0,0,0
20241203,143,3,6,607316,FALSE,132,1,Never married,2,0,1,0,105000,1430000000,0,0,143001,0,42491,0.8802,1.288,3,1,2,3,83721,105000,0,0,0,0,0,6836,8836,0,8033,2167,1737,1737,0,774,2506,0,0,0
20241203,144,1,20,2001201,FALSE,145,61,Widowed,1,4,1,0,150000,1440000000,6768,2498,144001,0,21443,0.6535,0.8889,2,0,2,1,115834,180000,0,0,0,0,0,27109,27109,0,13584,8387,2606,2606,0,9475,12480,0,0,0
20241203,144,2,20,2001201,FALSE,265,23,Never married,2,0,1,0,30000,1440000012,2707,506,144001,0,21443,0.6535,0.8889,2,0,2,1,115834,180000,0,0,0,0,0,27109,27109,0,13584,8387,2606,2606,0,9475,12480,0,0,0
